Username,Rating,Date,Opinion
Marianek,9,2018-12-05 17:01:02,"Oko: barwa brązowo-czarna, piana ciemnobrązowa, niska, niezbyt trwała, zostawia bardzo gęsty wręcz oleisty ślad na szkle.<br>Nos: solidna kombinacja słodów palonych, do tego wanilia, kokos i lekko sos sojowy, dębina, przyjemna nuta alkoholowa, zapowiada się słodko, likierowo.<br>Smak: gęste, kremowe na języku, niskie wysycenie. Solidna porcja słodyczy słodowej (likier, pralinki), palone nuty, wanilia, karmel, kokos, momentami marcepan, nieco suszonych owoców,  wyczuwalna nuta alkoholowa, ale przyjemna kojarząca się z dobrym alkoholem. Finisz krótki, słodycz przebijająca się przez palone akcenty i orzechowy posmak. Goryczka palona średnia w kierunku niskiej. Alkohol wyczuwalny, ale przyjemny w smaku i poprzez grzanie w przełyk.<br>Kilka miesięcy leżakowania troszkę ułożyło alkohol, aromat nadal wyraźny stanowi najmocniejszy punkt tego trunku, a smak nieco mu ustępuje. Ogólnie dobry RIS.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Brodzisław,9,2018-04-24 21:31:37,"Kolor czarny, nieprzenikniony, piana beżowa z drobniutkich pęcherzyków, opadła do krążka na powierzchni. <br>Aromat z butelki beczki, nuty szlachetnych alkoholi: bourbon/rum, dalej czekolada i likier czekoladowy. W szkle intensywnie i gęsto. Czekolada i likier kawowy a zaraz za tym nuty drewna i bourbon/rum. Jest też trochę karmelu, trufli, kokosu i wanilii ale też i alkoholu. <br>W smaku bardzo gęste, oleiste. Ponownie czekolada z nutą kawy aż po kakao. Wanilia i samo drewno z dodatkiem alkoholowych nut bourbona i rumu. Z czasem piwo staje się bardziej wytrawne, alkohol wyczuwalny poprzez lekkie szczypanie w jamie gębowej i rozgrzewanie. Goryczka niezbyt intensywna, palona i alkoholowa głównie. Wysycenie pomiędzy niskim a średnim. <br>Potężny, całkiem pijalny RIS. Genialny aromat, w smaku drażni jednak nuta alkoholowa. <br><div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Bob,8,2018-04-07 22:45:51,"Bardzo, bardzo mocny alkohol w zapachu jak i smaku. Jest to główna i chyba jedyna wada tego piwa. Ogółem to zapach (pomijając alko) jest niesamowity, na początku mocno rumowy (trzcinowy?), potem przechodzący w bounty. Burbon wyczuwalny, choć beczka po rumie dominuje. W smaku alkohol wszystko przykrywa, piwo mimo swojej wyjątkowości piję się wybitnie źle. Ciała mniej czuć niż w ""podstawce"", aromatów jest multum: Kawa, przyjemna wanilia, lekki kokos, czekolada, trochę karmelu, śladowe ciemne owoce. Czekolada szczególnie wyczuwalna jakiś czas po przełknięciu, szkoda że mało ją czuć wcześniej. Raczej rozczarowanie, spodziewałem się waniliowo-czekoladowego mocarnego ulepa. A dostałem alkoholowo wytrawną ciężka ""bestię"", nie moje klimaty.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
prisoner,9,2018-10-24 23:03:23,"Aromat faktycznie kpie kubki smakowe, dużo świeżej ziarnistej kawy, czekolada, laktoza, wanilia i trochę później kawa z mleczkiem. Smak słodkawy, kawka z mlekiem, ciasto orzechowe, finisz już kakaowy, lekko palony z nutami gałki muszkatołowej (lekkie szczypanie). Bardzo dobre, szkoda, że takie małe...<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Marianek,9,2018-07-31 21:18:15,"Oko: czerń. Piana ciemny beż, niezbyt wysoka, średnio trwała, zostawia ślad na szkle.<br>Nos: z butelki zniewalający aromat orzechowy plus słodkie dodatki, daje efekt chałwy orzechowo-waniliowej, spod tego nieśmiało kawa z mlekiem, czekolada deserowa. Silny zdecydowany aromat. Ze szkła bardziej zrównoważony, ale nadal intensywny: nadal chałwa, ale bardziej wyczuwalne palone słody. Alkoholu absolutnie nie czuć.<br>Smak: kremowe, gęste w ustach, wysycenie bardzo niskie. Smak złożony. Dużo słodyczy, znów chałwa waniliowo-orzechowa, do tego likier kawowo-czekoladowo-nugatowy, na finiszu nieśmiało palone nuty, a z każdym łykiem o sobie daje znać przyprawowość od gałki muszkatołowej. Słodkie nuty dominują zdecydowanie, ale nie dają efektu ulepku. Pijąc trunek nadal jest się ?porażanym? silnym aromatem, przez co nawet jest pewien kłopot z oceną samego smaku. Alkohol nieobecny w jakiejkolwiek postaci, nawet nie grzeje w przełyk. Trochę brakuje goryczki (palonej i chmielowej), choć po przełknięciu trunku na języku zostaje kakao i narastająca gałka muszkatołowa. Piwo prawie idealne<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
prisoner,10,2017-11-24 20:58:27,"Aromat jest niesamowity, pachnie cudownie owocami w czekoladzie szczególnie wiśniami. W smaku na początku ciut słodkie po czym kwaśne z nutami czarnej porzeczki, alkchol niesamowicie ułożony w ogóle nie wyczuwalny, wysycenie optymalne, goryczka raczej niewielka ale wyraźnie kwaskowa. Niesamowicie ułożone piwko, bardzo pijalne, super smaczne i tylko szkoda że tylko 0,5, bo można by go pić cały czas. no nic ..pierwsza dycha ode mnie i mega słuszna.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
nietzsche,9,2017-11-10 23:46:59,"Wygląd: kolor brunatny z rubinowymi refleksami, nieprzejrzyste, więc pewnie nieklarowne, bo aż tak ciemne to nie jest, ładna drobna piana, trwała, beżowa, śliczny lacing<br>Zapach: W zapachu dużo owoców, jagód ? czarnych i czerwonych, nie tylko porzeczki, którą tu dodano, jakiś orzech i migdał, toffi, trochę palony i melanoidynowy.<br>Smak: Wyraźnie porzeczkowe, finisz kwaśno-słodki, powidło, karmel, lekka orzechowość, czekolada z delikatną kawą zbożową, jakis pumpernikiel i spieczona skórka chleba, pełne, ale nie tak jak się spodziewałem, niemniej bardzo dobre, bardzo dobrze ułożone, no i świetnie ukryty alkohol.<br><div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Thesloma,8,2017-10-26 16:49:08,"Zapach : pralinka z czarną porzeczką , ciemny chleb , trochę świeżego soku z granatu z ziemistością , czerwone wino<br><br>Smak : ciekawa kwaskowatość od porzeczki połączone z lekką czekoladą i sporą nutą ciemnego chleba.<br><br>Ciekawe zaskoczenie , trochę ulepkowate to piwo , może zacząć męczyć , goryczki brakuje dlatego 8 , a nawet 8+/10 bo nie ma tutaj alkoholowości , naprawdę ciekawe doświadczenie , nie spotkałem się z takim piwem nigdy wcześniej.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
oranjefan,10,2017-07-11 22:26:54,"Niesamowicie przyjemny aromat. Słodki, przypominający wiśnie i śliwki w czekoladzie. W tle nuta przypieczonej skórki od chleba oraz delikatny akcent paloności. Nie mniej jednak ta intensywność śliwki i wiśni w czekoladzie jest niesamowita. Wyczuwalny też przypalony karmel. <br>W szkle z kolei wychodzą na wierzch nutki winne oraz przyprawowe. <br>Ogólnie rzecz biorąc piwo ma wszystko to, co powinno mieć dobre belgian strong ale w aromacie. Śliwki, wiśnie, czekolada, pumperniklowa słodowość, przyprawowość, nuty winne.<br><br>Piwo o brązowej barwie i idealnej klarowności. Piana średnioobfita, w kolorze beżowym opada w szybkim tempie do cienkiego kożucha. Zdobi szkło w postaci obfitej koronki na ściankach szklanki.<br><br>Spora kwaskowatość a może i nawet lekka kwaśność wyczuwalna już w pierwszym łyku. Czegoś takiego się nie spodziewałem. Nasycenie dwutlenkiem węgla wysokie. Prawidłowe jak na styl. Pół-słodkie. W smaku lekka chlebowa słodowość, wyraźna kwaskowatość która myślę że pochodzić może od czarnej porzeczki. Są w smaku wyraźne nuty owocowe, kojarzące się z tym owocem jak i z jeżynami i innymi ciemnymi owocami leśnymi. Odrobinę winne. Niesamowicie przyjemny, słodki i czekoladowy aftertaste. Alkohol dobrze ukryty, bardzo subtelnie ogrzewa przełyk na sposób owocowych nalewek. Goryczka niska w kierunku średniej. <br><br>Bardzo złożone i wielowymiarowe piwo. Trochę dziwi mnie ta wyraźna kwaskowatość. Piwo co prawda jest pasteryzowane, ale takiej kwaskowatości po belgian strong ale'u się nie spodziewałem. Nie mniej jednak aromatyczne i bardzo smaczne piwo. Taką Belgię mógłbym pić co dzień!<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Lukasz,8,2018-09-24 21:50:49,"Niczym mnie nie zaskoczyło, ale jest naprawdę dobre. W smaku miks pralin, palonego słodu, kawy, czekolady, wiśni i przyjemne grzanie w przełyku to miks, który zadowoli każdego fana takich brzmień.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
prisoner,8,2018-02-09 19:52:24,"Aromat przyjemny bardzo: likierowy, wiśnie w czekoladzie w smaku czuć beczkę, gorzka czekolada, kawkai goryczka z nutami paloności. Dobre, gęste, oleiste piwko. Cena 24,99.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
nietzsche,7,2018-03-04 22:53:38,"Samiec Alfa 2016<br>Kolor ciemno brunatny, prawie czarny, ładna ciemna piana, widać, że gęste już przy nalewaniu. W zapachu słodko z jednej strony, kokos, jakiś deser kawowo-czekoladowy, z drugiej strony mocny sos sojowy, więc dłużej go trzymać nie było sensu. W smaku jest słodko, jest pełne, wyklejające, czekoladowe, trochę kawowe, z jakimiś akcentami porto i rodzynki, odrobina lukrecji, sporo sosu sojowego, dużo kokosa, Bourbona. Pytanie, czy było warte swojej ceny i zachodu żeby je zdobyć. Nie było, można bez większego zachodu kupić risa lub porter bourbon barrel aged tej samej klasy lub lepsze już za 20 zł<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
vixakrokodyl,7,2018-01-20 15:41:42,"Smak bardzo bogaty, wielowątkowy, zawiera różne skrajne nuty smakowe, ale tez przez to jak dla mnie trochę przekombinowane. <div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
Barbarossa,10,2017-03-06 15:16:42,"Piwo po otwarciu aromatem nie zachwyciło, pachniało jak nędzny spiryt, bardzo zawodzi, ale smak już wszystko wynagradza. Piwo jest bardzo gęste, oleiste, ciężkie w ustach, nieprzejrzyście czarne, lekka piana, trochę jak czarna kawa. W smaku kawowe, kakaowe, pralinowe, smak długo się w ustach smak utrzymuje, przyjemnie rozgrzewa, nie szczypiąc. Zasługuje na swoje oceny, pije się długo, przyjemnie, smak pozostaje na długo, a wygląda fenomenalnie, tylko ten zapach to nie jakiś szlachetny alkohol, a tani spiryt przykrywający te ciemne aromaty.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
matixD666,10,2017-05-27 04:32:54,"Moja wersja 18,4 %. Ciężkie piwo, nie powinny tego pić osoby niewprawione w ekstremalne doznania piwne, mogą się zawieść. Moje odczucia - smoła, węgiel, kawa - jakbym zanurzył język w słoiku z kawą. Alkohol niewyczuwalny na języku, ale w brzuchu już grzał.<div style='text-align:right;'><img src='pliki/oceny.png' alt='oceny' style='vertic"
